AREA_A,AREA_B,DIST_KM
W06000008,E07000007,233.832
W06000021,E07000007,142.321
W06000009,E07000007,282.022
E06000024,E07000007,140.781
S12000017,E07000007,706.714
S12000020,E07000007,667.328
S12000023,E07000007,833.19
S12000013,E07000007,797.562
S12000035,E07000007,585.094
S12000034,E07000007,633.235
S12000015,E07000007,531.58
S12000033,E07000007,619.018
S12000036,E07000007,502.946
S12000010,E07000007,493.798
S12000027,E07000007,973.824
S12000021,E07000007,523.275
S12000006,E07000007,434.33
E06000044,E07000007,93.982
E06000026,E07000007,270.685
S12000028,E07000007,477.668
E06000057,E07000007,408.189
E06000052,E07000007,313.504
E06000053,E07000007,432.01
N92000002,E07000007,512.922
GI,E07000007,1762.552
E07000007,E07000006,18.706
E07000006,E07000006,0
E07000005,E07000006,14.051
E07000004,E07000006,42.559
E07000010,E07000006,120.531
E07000012,E07000006,82.703
E07000009,E07000006,106.563
E07000011,E07000006,94.385
E07000008,E07000006,87.144
E07000029,E07000006,368.672
E07000028,E07000006,407.636
E07000031,E07000006,340.181
E07000026,E07000006,393.37
E07000030,E07000006,366.209
E07000027,E07000006,336.03
E07000037,E07000006,220.089
E07000039,E07000006,156.504
E07000036,E07000006,161.873
E07000038,E07000006,194.675
E07000032,E07000006,174.404
E07000033,E07000006,190.41
E07000035,E07000006,190.318
E07000034,E07000006,196.983
E07000043,E07000006,237.943
E07000040,E07000006,204.2
E07000045,E07000006,239.363
E07000047,E07000006,261.851
E07000042,E07000006,220.552
E07000041,E07000006,224.388
E07000051,E07000006,145.253
E07000048,E07000006,121.801
E07000052,E07000006,163.379
E07000049,E07000006,122.936
E07000050,E07000006,136.014
E07000053,E07000006,167.804
E07000063,E07000006,85.748
E07000064,E07000006,103.636
E07000065,E07000006,85.572
E07000061,E07000006,105.444
E07000062,E07000006,111.415
E07000068,E07000006,63.075
E07000075,E07000006,97.096
E07000072,E07000006,53.878
E07000076,E07000006,122.939
E07000077,E07000006,73.337
E07000070,E07000006,76.475
E07000071,E07000006,106.258
E07000074,E07000006,96.587
E07000067,E07000006,92.073
E07000073,E07000006,53.773
E07000066,E07000006,73.32
E07000069,E07000006,82.204
E07000080,E07000006,134.774
E07000079,E07000006,94.605
E07000082,E07000006,119.888
E07000083,E07000006,112.07
E07000081,E07000006,118.606
E07000078,E07000006,109.277
E07000084,E07000006,52.871
E07000091,E07000006,106.069
E07000086,E07000006,86.339
E07000085,E07000006,59.325
E07000094,E07000006,73.401
E07000093,E07000006,79.86
E07000089,E07000006,37.006
E07000088,E07000006,92.539
E07000087,E07000006,89.953
E07000090,E07000006,84.602
E07000092,E07000006,33.803
E07000102,E07000006,14.687
E07000098,E07000006,25.27
E07000095,E07000006,41.988
E07000096,E07000006,24.905
E07000242,E07000006,52.872
E07000240,E07000006,29.476
E07000241,E07000006,36.037
E07000099,E07000006,52.528
E07000103,E07000006,17.932
E07000243,E07000006,47.582
E07000116,E07000006,86.47
E07000112,E07000006,123.797
E07000111,E07000006,61.531
E07000115,E07000006,73.051
E07000114,E07000006,136.061
E07000105,E07000006,108.778
E07000106,E07000006,121.509
E07000108,E07000006,136.307
E07000110,E07000006,88.96
E07000113,E07000006,100.424
E07000107,E07000006,60.177
E07000109,E07000006,70.458
E07000127,E07000006,276.183
E07000121,E07000006,314.034
E07000118,E07000006,272.475
E07000126,E07000006,280.949
E07000125,E07000006,263.472
E07000119,E07000006,293.717
E07000123,E07000006,288.501
E07000128,E07000006,302.485
E07000122,E07000006,278.541
E07000124,E07000006,289.936
E07000120,E07000006,273.544
E07000117,E07000006,270.738
E07000132,E07000006,130.067
E07000134,E07000006,144.327
E07000133,E07000006,139.133
E07000131,E07000006,113.034
E07000129,E07000006,120.943
E07000130,E07000006,136.731
E07000135,E07000006,119.736
E07000142,E07000006,204.438
E07000141,E07000006,144.468
E07000140,E07000006,143.249
E07000136,E07000006,162.416
E07000139,E07000006,169.901
E07000137,E07000006,193.021
E07000138,E07000006,185.613
E07000145,E07000006,195.844
E07000149,E07000006,166.612
E07000146,E07000006,149.081
E07000143,E07000006,150.817
E07000148,E07000006,175.465
E07000155,E07000006,70.292
E07000152,E07000006,100.35
E07000151,E07000006,90.176
E07000156,E07000006,81.792
E07000153,E07000006,97.497
E07000154,E07000006,78.873
E07000150,E07000006,105.115
E07000168,E07000006,312.65
E07000169,E07000006,250.872
E07000163,E07000006,300.321
E07000166,E07000006,324.859
E07000165,E07000006,287.409
E07000167,E07000006,295.803
E07000164,E07000006,307.684
E07000171,E07000006,199.197
E07000176,E07000006,152.652
E07000173,E07000006,167.676
E07000170,E07000006,176.831
E07000175,E07000006,175.821
E07000172,E07000006,164.486
E07000174,E07000006,183.912
E07000180,E07000006,59.628
E07000179,E07000006,34.44
E07000177,E07000006,65.136
E07000181,E07000006,70.671
E07000178,E07000006,50.139
E07000191,E07000006,207.401
E07000187,E07000006,141.601
E07000190,E07000006,189.048
E07000189,E07000006,160.814
E07000188,E07000006,169.578
E07000198,E07000006,194.136
E07000196,E07000006,161.11
E07000194,E07000006,150.886
E07000195,E07000006,198.625
E07000197,E07000006,179.998
E07000193,E07000006,167.646
E07000192,E07000006,159.96
E07000199,E07000006,140.431
E07000206,E07000006,177.574
E07000200,E07000006,117.498
E07000205,E07000006,153.518
E07000204,E07000006,115.074
E07000201,E07000006,117.607
E07000203,E07000006,138.952
E07000202,E07000006,132.862
E07000216,E07000006,45.317
E07000215,E07000006,52.813
E07000217,E07000006,27.05
E07000214,E07000006,24.392
E07000212,E07000006,18.399
E07000209,E07000006,34.38
E07000211,E07000006,43.642
E07000210,E07000006,42.486
E07000207,E07000006,26.081
E07000213,E07000006,16.912
E07000208,E07000006,33.247
E07000218,E07000006,131.224
E07000220,E07000006,105.14
E07000222,E07000006,108.182
E07000221,E07000006,99.247
E07000219,E07000006,121.396
E07000224,E07000006,79.582
E07000223,E07000006,81.76
E07000225,E07000006,69.644
E07000228,E07000006,67.758
E07000227,E07000006,64.496
E07000229,E07000006,82.012
E07000226,E07000006,55.725
E07000235,E07000006,139.457
E07000239,E07000006,147.573
E07000238,E07000006,121.203
E07000234,E07000006,132.761
E07000237,E07000006,132.397
E07000236,E07000006,123.658
E09000021,E07000006,28.189
E09000008,E07000006,41.49
E09000006,E07000006,49.07
E09000018,E07000006,18.358
E09000009,E07000006,18.359
E09000016,E07000006,56.201
E09000017,E07000006,10.149
E09000015,E07000006,17.844
E09000005,E07000006,22.344
E09000003,E07000006,27.156
E09000022,E07000006,34.677
E09000028,E07000006,36.958
E09000023,E07000006,41.342
E09000011,E07000006,45.724
E09000004,E07000006,51.937
E09000010,E07000006,36.382
E09000031,E07000006,40.239
E09000026,E07000006,46.275
E09000029,E07000006,35.896
E09000027,E07000006,23.052
E09000024,E07000006,31.773
E09000032,E07000006,30.345
E09000013,E07000006,26.516
E09000020,E07000006,28.276
E09000033,E07000006,30.182
E09000007,E07000006,30.022
E09000030,E07000006,38.792
E09000019,E07000006,33.284
E09000012,E07000006,36.528
E09000014,E07000006,33.662
E09000025,E07000006,43.655
E09000002,E07000006,50.174
E09000001,E07000006,34.834
E08000016,E07000006,229.288
E08000025,E07000006,136.096
E08000001,E07000006,258.418
E08000032,E07000006,268.51
E08000002,E07000006,254.337
E08000033,E07000006,258.362
E08000031,E07000006,155.587
E08000026,E07000006,115.054
E08000017,E07000006,223.789
E08000027,E07000006,146.56
E08000037,E07000006,382.925
E08000034,E07000006,243.698
E08000011,E07000006,257.709
E08000035,E07000006,259.932
E08000012,E07000006,258.492
E08000003,E07000006,238.463
E08000021,E07000006,390.508
E08000022,E07000006,391.152
E08000004,E07000006,243.059
E08000005,E07000006,252.582
E08000018,E07000006,211.399
E08000006,E07000006,246.625
E08000028,E07000006,144.406
E08000014,E07000006,277.43
E08000019,E07000006,215.672
E08000029,E07000006,123.202
E08000023,E07000006,383.319
E08000007,E07000006,229.549
E08000013,E07000006,256.466
E08000024,E07000006,374.259
E08000008,E07000006,235.906
E08000009,E07000006,239.357
E08000036,E07000006,240.611
E08000030,E07000006,149.506
